REG0,REG1,REG2,REG3,REG4,REG5,REG6
0,0,255,28,0,47,85,
0,0,0,16,16,33,84,
255,0,0,20,240,32,84,
0,0,0,24,33,32,84,
0,255,0,16,47,33,85,
255,255,0,20,255,34,85,
0,255,0,24,13,33,85,
255,0,0,28,240,33,84,
0,0,0,16,17,32,84,
0,0,255,24,32,47,85,
0,255,0,28,31,33,85,
255,0,0,16,240,33,84,
255,0,0,20,241,32,84,
0,0,0,24,0,32,84,
0,255,0,16,31,33,85,
0,255,0,20,15,32,86,
0,0,0,24,0,34,85,
0,255,0,28,15,33,84,
0,0,0,16,17,32,85,
255,0,0,24,240,32,84,
0,0,0,28,34,32,84,
255,255,255,16,239,47,84,
0,0,0,20,16,34,84,
0,255,0,24,14,32,84,
0,255,0,16,63,33,84,
255,0,0,20,224,33,85,
255,0,0,24,241,32,84,
255,255,0,28,252,33,84,
0,0,0,16,0,32,85,
255,255,0,24,254,33,85,
0,0,255,28,0,47,85,
0,0,0,16,0,32,84,
255,0,255,20,208,47,85,
255,0,0,24,241,32,85,
0,0,0,16,16,33,84,
255,255,0,20,255,32,84,
0,0,0,24,0,33,84,
0,255,0,28,15,32,84,
0,0,255,16,32,47,84,
0,0,0,24,0,32,84,
0,0,0,28,0,32,85,
0,255,0,16,15,32,85,
0,0,255,20,1,47,84,
255,255,0,24,255,32,84,
0,0,255,16,0,47,85,
0,0,0,20,2,32,85,
0,0,0,24,1,32,85,
255,0,0,28,224,33,85,
0,255,0,16,30,32,85,
0,255,0,24,29,32,85,
255,0,0,28,224,33,85,
0,0,0,16,33,32,84,
0,255,0,20,63,32,84,
0,0,0,24,0,32,84,
0,255,0,16,13,33,84,
255,0,0,20,241,32,85,
255,0,0,24,224,32,84,
0,0,0,28,0,32,85,
0,255,0,16,31,32,85,
0,255,0,24,13,32,85,
0,255,0,28,13,32,85,
0,255,0,16,29,32,85,
255,0,255,20,240,47,85,
0,0,0,24,1,32,84,
0,0,0,16,1,32,84,
0,0,255,20,0,47,85,
255,255,0,24,254,33,84,
0,0,0,28,1,33,85,
0,0,0,16,49,33,85,
0,255,0,24,31,32,84,
0,255,0,28,15,32,84,
255,255,0,16,237,32,85,
255,0,0,20,224,34,84,
255,0,255,24,240,47,84,
0,255,0,16,31,33,85,
0,0,0,20,0,32,84,
0,255,0,24,63,32,85,
255,0,255,28,224,47,85,
0,255,0,16,47,32,85,
255,0,0,24,240,32,85,
255,0,0,28,240,32,86,
0,255,255,16,31,47,85,
0,0,0,20,0,32,85,
0,255,0,24,31,32,85,
255,0,0,16,240,32,85,
0,255,0,20,14,32,85,
0,255,0,24,46,32,85,
255,0,0,28,240,32,84,
255,255,0,16,255,32,84,
0,0,0,24,0,32,84,
0,0,0,28,0,33,85,
0,255,0,16,47,33,84,
255,0,0,20,240,32,85,
0,0,0,24,16,32,84,
0,0,0,16,48,32,85,
255,255,255,20,239,47,85,
0,255,0,24,14,32,85,
0,0,0,28,0,34,85,
255,255,0,16,255,32,85,
0,0,0,24,1,32,85,
0,255,0,28,31,32,85,
255,255,0,16,254,32,85,
255,255,0,20,255,32,84,
0,255,0,24,13,33,84,
0,0,0,16,17,32,84,
0,0,255,20,0,47,85,
0,0,0,24,1,32,85,
0,0,0,28,0,32,85,
