Current,REG0,REG1,REG2,REG3,REG4,REG5,REG6
0.245,0,0,0,16,20,32,94,
0.245,255,0,0,20,243,32,95,
0.245,0,0,255,24,5,47,94,
0.245,0,0,255,28,5,47,96,
0.245,0,0,0,16,34,33,95,
0.245,255,0,0,20,245,33,95,
0.245,255,0,0,24,244,32,96,
0.245,0,0,0,28,20,32,95,
0.245,0,0,0,16,22,32,95,
0.245,255,0,0,20,228,33,95,
0.245,0,0,0,24,20,33,96,
0.245,0,0,255,28,4,47,95,
0.245,0,0,0,16,4,33,95,
0.245,255,0,255,20,245,47,95,
0.245,0,0,0,24,4,32,95,
0.245,255,0,0,28,227,32,96,
0.245,0,0,0,16,5,32,95,
0.245,255,0,255,20,210,47,96,
0.245,255,0,0,24,245,32,95,
0.245,0,0,255,28,37,46,95,
0.245,0,0,0,16,6,32,95,
0.245,0,0,0,20,20,32,95,
0.245,0,0,0,24,22,32,95,
0.245,255,0,0,28,243,32,94,
0.245,0,0,0,16,21,32,95,
0.245,255,0,0,20,228,32,96,
0.245,255,0,0,24,244,33,94,
0.245,0,0,0,28,36,32,95,
0.245,255,0,0,16,241,32,96,
0.245,255,0,255,20,243,47,96,
0.245,0,0,0,24,38,33,95,
0.245,255,0,0,28,242,32,95,
0.245,0,0,0,16,21,32,95,
0.245,255,0,0,20,198,32,95,
0.345,0,0,255,16,5,47,95,
0.345,255,0,0,20,228,32,95,
0.345,0,0,0,24,6,32,96,
0.345,255,0,0,28,247,32,95,
0.345,255,0,0,16,231,32,95,
0.345,0,0,0,20,8,32,95,
0.345,0,0,0,24,4,33,95,
0.345,0,0,0,28,4,32,95,
0.345,0,0,0,16,22,32,95,
0.345,255,0,255,20,230,47,95,
0.345,0,0,0,24,22,32,95,
0.345,255,0,0,28,199,32,95,
0.345,0,0,0,16,20,33,95,
0.345,255,0,0,20,245,32,96,
0.345,0,0,255,24,22,46,95,
0.345,0,0,255,28,22,47,95,
0.345,0,0,0,16,4,32,94,
0.345,0,0,0,20,22,32,96,
0.345,0,0,0,24,23,32,96,
0.345,255,0,0,28,248,33,95,
0.345,0,0,0,16,4,32,95,
0.345,0,0,255,20,19,47,96,
0.345,255,0,0,24,245,33,94,
0.345,255,0,255,28,246,47,96,
0.345,255,0,255,16,249,47,95,
0.345,255,0,255,20,246,47,95,
0.345,0,0,0,24,6,32,95,
0.345,255,0,0,28,197,32,96,
0.345,255,0,0,16,245,32,96,
0.345,255,0,0,20,245,32,95,
0.345,255,0,0,24,231,32,95,
0.345,0,0,0,28,24,32,96,
0.345,255,0,0,16,247,32,95,
0.345,0,0,0,20,38,32,95,
0.345,255,0,0,24,247,33,95,
0.345,255,0,0,28,229,32,95,
0.345,255,0,0,16,230,32,96,
0.345,255,0,255,20,245,47,95,
0.345,0,0,0,24,7,33,95,
